,book,character
0,5 Baptism of Fire,Adalia
1,5 Baptism of Fire,Adela
2,5 Baptism of Fire,Aen Saevherne
3,5 Baptism of Fire,Aevenien
4,5 Baptism of Fire,Aglaïs
5,5 Baptism of Fire,Albrich
6,5 Baptism of Fire,Amavet
7,5 Baptism of Fire,Angus Bri Cri
8,5 Baptism of Fire,Anna Kameny
9,5 Baptism of Fire,Anzelm Aubry
10,5 Baptism of Fire,Artaud Terranova
11,5 Baptism of Fire,Asse
12,5 Baptism of Fire,Assire var Anahid
13,5 Baptism of Fire,Aubry (first born)
14,5 Baptism of Fire,Augusta Wagner
15,5 Baptism of Fire,Baron of Casadei
16,5 Baptism of Fire,Beatrix of Kovir
17,5 Baptism of Fire,Bronik
18,5 Baptism of Fire,Brouver Hoog
19,5 Baptism of Fire,Cahir Mawr Dyffryn aep Ceallach
20,5 Baptism of Fire,Calanthe
21,5 Baptism of Fire,Caleb Stratton
22,5 Baptism of Fire,Carduin
23,5 Baptism of Fire,Ceallach aep Gruffyd
24,5 Baptism of Fire,Cerro
25,5 Baptism of Fire,Ciaran aep Dearbh
26,5 Baptism of Fire,Ciri
27,5 Baptism of Fire,Cirilla Fiona (imposter)
28,5 Baptism of Fire,Codringher
29,5 Baptism of Fire,Coinneach Dá Reo
30,5 Baptism of Fire,Connor
31,5 Baptism of Fire,Coram I
32,5 Baptism of Fire,Coram II
33,5 Baptism of Fire,Corbett
34,5 Baptism of Fire,Cosmo Baldenvegg
35,5 Baptism of Fire,Count Lanier
36,5 Baptism of Fire,Cregennan of Lod
37,5 Baptism of Fire,Crispin
38,5 Baptism of Fire,Dagorad
39,5 Baptism of Fire,Dandelion
40,5 Baptism of Fire,Daniel Etcheverry
41,5 Baptism of Fire,Demavend III
42,5 Baptism of Fire,Echel Traighlethan
43,5 Baptism of Fire,Effenberg
44,5 Baptism of Fire,Eithné
45,5 Baptism of Fire,Elan Trahe
46,5 Baptism of Fire,Elen of Kaedwen
47,5 Baptism of Fire,Emhyr var Emreis
48,5 Baptism of Fire,Emiel Regis Rohellec Terzieff-Godefroy
49,5 Baptism of Fire,Ethain
50,5 Baptism of Fire,Falka
51,5 Baptism of Fire,Falka (alias)
52,5 Baptism of Fire,Fauve
53,5 Baptism of Fire,Field Marshal Windbag
54,5 Baptism of Fire,Figgis Merluzzo
55,5 Baptism of Fire,Fiona
56,5 Baptism of Fire,Flourens Delannoy
57,5 Baptism of Fire,Foltest
58,5 Baptism of Fire,Francesca Findabair
59,5 Baptism of Fire,Fringilla Vigo
60,5 Baptism of Fire,Geralt of Rivia
61,5 Baptism of Fire,Gerhart of Aelle
62,5 Baptism of Fire,Giselher
63,5 Baptism of Fire,Goidemar
64,5 Baptism of Fire,Havekar
65,5 Baptism of Fire,Hector Laabs
66,5 Baptism of Fire,Hedwig of Malleore
67,5 Baptism of Fire,Henselt
68,5 Baptism of Fire,Houtborg triplets
69,5 Baptism of Fire,Ida Emean aep Sivney
70,5 Baptism of Fire,Iorweth
71,5 Baptism of Fire,Isengrim Faoiltiarna
72,5 Baptism of Fire,Iskra
73,5 Baptism of Fire,Istredd
74,5 Baptism of Fire,Ithlinne
